epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,211578,0.7933,0.44198,1.5233,0.97362,0.99474,0.99261,0.97304,0.41396,0.24146,1.25718,0.000160775,0.000160775,0.000160775
84,214581,0.79801,0.45026,1.55232,0.96664,0.99474,0.99204,0.97201,0.44666,0.24756,1.2028,0.000158904,0.000158904,0.000158904
85,217601,0.7872,0.43893,1.52182,0.96882,0.98118,0.99308,0.96863,0.44293,0.25399,1.21255,0.000157025,0.000157025,0.000157025
86,220620,0.76227,0.42672,1.53059,0.96426,0.99388,0.99297,0.97635,0.42859,0.25013,1.2204,0.000155139,0.000155139,0.000155139
87,223638,0.79658,0.43977,1.52629,0.9838,0.98421,0.99384,0.97445,0.46211,0.24487,1.30809,0.000153245,0.000153245,0.000153245
88,226653,0.79553,0.4363,1.53026,0.95861,0.99474,0.99297,0.97634,0.44492,0.25404,1.26681,0.000151345,0.000151345,0.000151345
89,229673,0.77973,0.43673,1.51475,0.96907,0.98933,0.992,0.97292,0.42141,0.25258,1.22226,0.000149438,0.000149438,0.000149438
90,232690,0.76842,0.42848,1.52785,0.95827,0.99474,0.99297,0.97573,0.41625,0.25048,1.23037,0.000147526,0.000147526,0.000147526
91,235701,0.77856,0.44651,1.50709,0.97152,0.97368,0.99349,0.97225,0.41994,0.24729,1.26033,0.000145609,0.000145609,0.000145609
92,238722,0.78425,0.44637,1.56249,0.95907,0.98665,0.99323,0.96563,0.4342,0.25008,1.20471,0.000143687,0.000143687,0.000143687
93,241741,0.78537,0.43616,1.50943,0.97619,0.97895,0.9936,0.9799,0.40144,0.23537,1.2042,0.00014176,0.00014176,0.00014176
94,244766,0.76126,0.42666,1.50465,0.9639,0.9838,0.99349,0.97676,0.41733,0.24458,1.18183,0.00013983,0.00013983,0.00013983
95,247780,0.78212,0.43975,1.5398,0.95916,0.98889,0.99344,0.96983,0.45201,0.24937,1.22583,0.000137896,0.000137896,0.000137896
96,250794,0.77784,0.42942,1.5038,0.97391,0.98253,0.99332,0.97419,0.43232,0.25182,1.1916,0.000135959,0.000135959,0.000135959
